floors,layout,per_room_occ,responders,best_ms
2,L,1,5,620.1690200217608
2,L,1,6,512.2431257767278
2,L,1,9,474.4623783238778
2,L,1,10,395.6117391217525
2,L,2,1,1400.7798935473024
2,L,2,2,869.819868578519
2,L,2,3,854.6915919181864
2,L,2,4,670.2671939492554
2,L,2,5,660.1690200217608
2,L,2,6,536.2431257767278
2,L,2,9,498.4623783238778
2,L,2,10,411.6117391217525
2,L,3,1,1544.7798935473022
2,L,3,2,941.819868578519
2,L,3,3,926.6915919181864
2,L,3,4,710.2671939492554
2,L,3,5,700.1690200217608
2,L,3,6,560.2431257767278
2,L,3,9,522.4623783238777
2,L,3,10,427.6117391217525
2,L,4,1,1688.7798935473022
2,L,4,2,1013.819868578519
2,L,4,3,998.6915919181864
2,L,4,4,750.2671939492554
2,L,4,5,740.169020021761
2,L,4,6,584.2431257767278
2,L,4,9,546.4623783238777
2,L,4,10,443.6117391217525
2,L,5,1,1832.7798935473024
2,L,5,2,1085.8198685785192
2,L,5,3,1070.6915919181863
2,L,5,4,790.2671939492554
2,L,5,5,780.169020021761
2,L,5,6,608.2431257767278
2,L,5,9,570.4623783238777
2,L,5,10,459.6117391217525
2,L,6,1,1976.7798935473024
2,L,6,2,1157.8198685785192
2,L,6,3,1142.691591918186
2,L,6,4,830.2671939492554
2,L,6,5,820.169020021761
2,L,6,6,632.2431257767278
2,L,6,9,594.4623783238777
2,L,6,10,475.6117391217525
2,L,7,1,2120.779893547302
2,L,7,2,1229.8198685785192
2,L,7,3,1214.691591918186
2,L,7,4,870.2671939492554
2,L,7,5,860.1690200217608
2,L,7,6,656.2431257767278
2,L,7,9,618.4623783238777
2,L,7,10,491.6117391217525
2,L,8,1,2264.779893547302
2,L,8,2,1301.8198685785194
2,L,8,3,1286.691591918186
2,L,8,4,910.2671939492556
2,L,8,5,900.1690200217608
2,L,8,6,680.2431257767278
2,L,8,9,642.4623783238778
2,L,8,10,507.6117391217525
2,L,9,1,2408.779893547303
2,L,9,2,1373.8198685785194
2,L,9,3,1358.691591918186
2,L,9,4,950.2671939492556
2,L,9,5,940.1690200217608
2,L,9,6,704.2431257767278
2,L,9,9,666.4623783238778
2,L,9,10,523.6117391217525
2,L,10,1,2552.779893547303
2,L,10,2,1445.8198685785194
2,L,10,3,1430.6915919181863
2,L,10,4,990.2671939492556
2,L,10,5,980.1690200217608
2,L,10,6,728.2431257767278
2,L,10,9,690.4623783238778
2,L,10,10,539.6117391217525
2,T,1,1,1311.2369776220594
2,T,1,2,1032.332130995326
2,T,1,3,737.8724707511051
2,T,1,5,646.5703817868331
2,T,1,7,583.9697421683957
2,T,1,9,522.512765316678
2,T,2,1,1455.2369776220592
2,T,2,2,1144.332130995326
2,T,2,3,793.8724707511051
2,T,2,5,686.5703817868332
2,T,2,7,615.9697421683957
2,T,2,9,546.512765316678
2,T,3,1,1599.2369776220592
2,T,3,2,1256.332130995326
2,T,3,3,849.8724707511051
2,T,3,5,726.5703817868331
2,T,3,7,647.9697421683957
2,T,3,9,570.512765316678
2,T,4,1,1743.2369776220592
2,T,4,2,1368.332130995326
2,T,4,3,905.8724707511052
2,T,4,5,766.5703817868331
2,T,4,7,679.9697421683957
2,T,4,9,594.512765316678
2,T,5,1,1887.236977622059
2,T,5,2,1480.332130995326
2,T,5,3,961.8724707511052
2,T,5,5,806.5703817868331
2,T,5,7,711.9697421683957
2,T,5,9,618.512765316678
2,T,6,1,2031.2369776220592
2,T,6,2,1592.3321309953258
2,T,6,3,1017.8724707511052
2,T,6,5,846.5703817868331
2,T,6,7,743.9697421683957
2,T,6,9,642.512765316678
2,T,7,1,2175.236977622059
2,T,7,2,1704.3321309953258
2,T,7,3,1073.872470751105
2,T,7,5,886.5703817868331
2,T,7,7,775.9697421683957
2,T,7,9,666.512765316678
2,T,8,1,2319.236977622059
2,T,8,2,1816.3321309953255
2,T,8,3,1129.872470751105
2,T,8,5,926.5703817868332
2,T,8,7,807.9697421683957
