floors,layout,per_room_occ,responders,mean_ms,median_ms,std_ms,best_ms,n
4,BASELINE,10,5,2252.61742883465,2252.61742883465,146.34241475066688,2125.881180009414,4
3,T,3,2,2134.1443045828823,2134.1443045828823,0.0,2134.1443045828823,2
4,T,9,10,2139.305807696888,2139.305807696888,0.0,2139.305807696888,4
4,T,9,9,2211.681468622649,2211.681468622649,83.57221463653005,2139.305807696888,4
4,T,3,6,2147.9168098355403,2147.9168098355403,0.0,2147.9168098355403,4
4,T,3,5,2271.6371978780226,2271.6371978780226,142.85999868114413,2147.9168098355403,4
4,L,9,8,2164.5588820424127,2164.5588820424127,0.0,2164.5588820424127,4
4,L,9,7,2312.157646260841,2312.157646260841,170.43237250713108,2164.5588820424127,4
4,T,1,4,2171.357585920505,2171.357585920505,0.0,2171.357585920505,4
4,T,1,3,2465.905691476806,2465.905691476806,340.1148560644498,2171.357585920505,4
4,L,5,6,2171.756410479269,2171.756410479269,0.0,2171.756410479269,4
4,L,5,5,2371.776493597765,2371.776493597765,230.96329766358977,2171.756410479269,4
4,T,7,8,2172.0571295484096,2172.0571295484096,0.0,2172.0571295484096,4
4,T,7,7,2319.986969691975,2319.986969691975,170.81466605613153,2172.0571295484096,4
2,T,7,1,2192.52098190526,2192.52098190526,24.443273269417922,2175.236977622059,2
3,BASELINE,9,2,2175.5691678377475,2175.5691678377475,0.0,2175.5691678377475,2
3,T,10,4,2181.6846443386617,2181.6846443386617,0.0,2181.6846443386617,4
3,T,10,3,2745.914474460772,2745.914474460772,651.5164886116348,2181.6846443386617,4
4,T,10,10,2187.305807696888,2187.305807696888,0.0,2187.305807696888,4
4,T,10,9,2263.681468622649,2263.681468622649,88.19101679004706,2187.305807696888,4
4,BASELINE,7,4,2187.3536776598867,2187.3536776598867,0.0,2187.3536776598867,4
4,BASELINE,7,3,2594.9523693542924,2594.9523693542924,470.654428742209,2187.3536776598867,4
3,BASELINE,4,1,2210.3209453914274,2210.3209453914274,0.028946882431105596,2210.300476854566,2
5,BASELINE,1,10,2219.3684925841453,2219.3684925841453,0.0,2219.3684925841453,4
5,BASELINE,1,9,2358.777599490969,2358.777599490969,160.97577080027963,2219.3684925841453,4
4,L,10,8,2220.5588820424127,2220.5588820424127,0.0,2220.5588820424127,4
4,L,10,7,2376.157646260841,2376.157646260841,179.66997681416507,2220.5588820424127,4
3,L,5,2,2220.784021736328,2220.784021736328,0.0,2220.784021736328,2
4,T,4,6,2227.9168098355403,2227.9168098355403,0.0,2227.9168098355403,4
4,T,4,5,2367.6371978780226,2367.6371978780226,161.33520729521217,2227.9168098355403,4
4,T,8,8,2228.0571295484096,2228.0571295484096,0.0,2228.0571295484096,4
4,T,8,7,2387.986969691975,2387.986969691975,184.67107251668253,2228.0571295484096,4
3,T,1,1,2250.0913191137124,2250.0913191137124,24.78528155662252,2232.5654784514068,2
4,BASELINE,1,2,2234.5510610486986,2234.5510610486986,0.0,2234.5510610486986,2
4,L,2,4,2235.796576716262,2235.796576716262,0.0,2235.796576716262,4
4,L,2,3,2567.8089235231846,2567.8089235231846,383.3748356065125,2235.796576716262,4
4,L,6,6,2243.756410479269,2243.756410479269,0.0,2243.756410479269,4
4,L,6,5,2463.776493597765,2463.776493597765,254.05730843117482,2243.756410479269,4
4,BASELINE,8,4,2251.3536776598867,2251.3536776598867,0.0,2251.3536776598867,4
4,BASELINE,8,3,2690.9523693542924,2690.9523693542924,507.6048459703451,2251.3536776598867,4
5,BASELINE,2,10,2251.3684925841453,2251.3684925841453,0.0,2251.3684925841453,4
5,BASELINE,2,9,2394.777599490969,2394.777599490969,165.59457295379664,2251.3684925841453,4
2,L,8,1,2264.7798935473024,2264.7798935473024,6.431098710768743e-13,2264.779893547302,2
3,BASELINE,10,2,2271.5691678377475,2271.5691678377475,0.0,2271.5691678377475,2
4,T,2,4,2283.357585920505,2283.357585920505,0.0,2283.357585920505,4
4,T,2,3,2633.905691476806,2633.905691476806,404.7780862136879,2283.357585920505,4
5,BASELINE,3,10,2283.3684925841453,2283.3684925841453,0.0,2283.3684925841453,4
5,BASELINE,3,9,2430.777599490969,2430.777599490969,170.21337510731365,2283.3684925841453,4
4,T,9,8,2284.0571295484096,2284.0571295484096,0.0,2284.0571295484096,4
4,T,9,7,2455.986969691975,2455.986969691975,198.52747897723356,2284.0571295484096,4
3,T,4,2,2302.1443045828823,2302.1443045828823,0.0,2302.1443045828823,2
4,T,5,6,2307.9168098355403,2307.9168098355403,0.0,2307.9168098355403,4
4,T,5,5,2463.6371978780226,2463.6371978780226,179.81041590927984,2307.9168098355403,4
4,BASELINE,9,4,2315.3536776598867,2315.3536776598867,0.0,2315.3536776598867,4
4,BASELINE,9,3,2786.9523693542924,2786.9523693542924,544.5552631984812,2315.3536776598867,4
5,BASELINE,4,10,2315.3684925841453,2315.3684925841453,0.0,2315.3684925841453,4
5,BASELINE,4,9,2466.777599490969,2466.777599490969,174.83217726083066,2315.3684925841453,4
4,L,7,6,2315.756410479269,2315.756410479269,0.0,2315.756410479269,4
4,L,7,5,2555.776493597765,2555.776493597765,277.15131919875984,2315.756410479269,4
2,T,8,1,2336.52098190526,2336.52098190526,24.443273269417922,2319.236977622059,2
3,L,2,1,2385.4030987170854,2385.4030987170854,92.85592184789462,2319.744046705111,2
4,T,10,8,2340.0571295484096,2340.0571295484096,0.0,2340.0571295484096,4
4,T,10,7,2523.986969691975,2523.986969691975,212.38388543778458,2340.0571295484096,4
5,BASELINE,5,10,2347.3684925841453,2347.3684925841453,0.0,2347.3684925841453,4
5,BASELINE,5,9,2502.777599490969,2502.777599490969,179.45097941434767,2347.3684925841453,4
4,L,3,4,2347.796576716262,2347.796576716262,0.0,2347.796576716262,4
4,L,3,3,2731.8089235231846,2731.8089235231846,443.4192636022336,2347.796576716262,4
3,BASELINE,5,1,2354.320945391428,2354.320945391428,0.028946882431266373,2354.300476854566,2
4,BASELINE,2,2,2362.5510610486986,2362.5510610486986,0.0,2362.5510610486986,2
3,L,6,2,2364.784021736328,2364.784021736328,0.0,2364.784021736328,2
4,BASELINE,10,4,2379.353677659886,2379.353677659886,0.0,2379.353677659886,4
4,BASELINE,10,3,2882.9523693542924,2882.9523693542924,581.5056804266175,2379.353677659886,4
5,BASELINE,6,10,2379.3684925841453,2379.3684925841453,0.0,2379.3684925841453,4
5,BASELINE,6,9,2538.777599490969,2538.777599490969,184.06978156786468,2379.3684925841453,4
4,L,8,6,2387.7564104792687,2387.7564104792687,0.0,2387.7564104792687,4
4,L,8,5,2647.776493597765,2647.776493597765,300.2453299663452,2387.7564104792687,4
4,T,6,6,2387.9168098355403,2387.9168098355403,0.0,2387.9168098355403,4
4,T,6,5,2559.6371978780226,2559.6371978780226,198.28562452334788,2387.9168098355403,4
4,T,3,4,2395.357585920505,2395.357585920505,0.0,2395.357585920505,4
4,T,3,3,2801.905691476806,2801.905691476806,469.44131636292593,2395.357585920505,4
2,L,9,1,2408.779893547303,2408.779893547303,0.0,2408.779893547303,2
5,BASELINE,7,10,2411.3684925841453,2411.3684925841453,0.0,2411.3684925841453,4
5,BASELINE,7,9,2574.777599490969,2574.777599490969,188.6885837213817,2411.3684925841453,4
5,BASELINE,8,10,2443.3684925841453,2443.3684925841453,0.0,2443.3684925841453,4
5,BASELINE,8,9,2610.777599490969,2610.777599490969,193.30738587489867,2443.3684925841453,4
3,T,2,1,2466.0913191137124,2466.0913191137124,24.785281556622362,2448.5654784514068,2
5,L,1,10,2454.54800213001,2454.54800213001,0.0,2454.54800213001,4
5,L,1,9,2506.330754284437,2506.330754284437,59.79357179147581,2454.54800213001,4
4,L,9,6,2459.7564104792687,2459.7564104792687,0.0,2459.7564104792687,4
4,L,9,5,2739.776493597765,2739.776493597765,323.3393407339301,2459.7564104792687,4
4,L,4,4,2459.796576716261,2459.796576716261,0.0,2459.796576716261,4
4,L,4,3,2895.808923523184,2895.808923523184,503.4636915979552,2459.796576716261,4
2,T,9,1,2480.52098190526,2480.52098190526,24.443273269417922,2463.236977622059,2
4,T,7,6,2467.9168098355403,2467.9168098355403,0.0,2467.9168098355403,4
4,T,7,5,2655.6371978780226,2655.6371978780226,216.7608331374159,2467.9168098355403,4
3,T,5,2,2470.1443045828823,2470.1443045828823,0.0,2470.1443045828823,2
5,BASELINE,9,10,2475.3684925841453,2475.3684925841453,0.0,2475.3684925841453,4
5,BASELINE,9,9,2646.777599490969,2646.777599490969,197.92618802841568,2475.3684925841453,4
4,BASELINE,3,2,2490.5510610486986,2490.5510610486986,0.0,2490.5510610486986,2
5,BASELINE,1,8,2498.186706397792,2498.186706397792,0.0,2498.186706397792,4
5,BASELINE,1,7,2514.325851182938,2514.325851182938,18.635879172388858,2498.186706397792,4
3,BASELINE,6,1,2498.320945391428,2498.320945391428,0.028946882431266373,2498.300476854566,2
4,T,4,4,2507.357585920505,2507.357585920505,0.0,2507.357585920505,4
4,T,4,3,2969.905691476806,2969.905691476806,534.1045465121641,2507.357585920505,4
5,BASELINE,10,10,2507.3684925841453,2507.3684925841453,0.0,2507.3684925841453,4
