floors,layout,per_room_occ,responders,exit_combo_id,exit_combo,makespan_s,makespan_hms
1,BASELINE,5,8,2,LRLRLRLR,217.43171677461777,00:03:37
1,BASELINE,5,8,3,RLRLRLRL,217.43171677461777,00:03:37
1,BASELINE,5,9,0,LLLLLRRRR,217.43171677461777,00:03:37
1,BASELINE,5,9,1,RRRRRLLLL,217.43171677461777,00:03:37
1,BASELINE,5,9,2,LRLRLRLRL,217.43171677461777,00:03:37
1,BASELINE,5,9,3,RLRLRLRLR,217.43171677461777,00:03:37
1,BASELINE,5,10,0,LLLLLRRRRR,217.43171677461777,00:03:37
1,BASELINE,5,10,1,RRRRRLLLLL,217.43171677461777,00:03:37
1,BASELINE,5,10,2,LRLRLRLRLR,217.43171677461777,00:03:37
1,BASELINE,5,10,3,RLRLRLRLRL,217.43171677461777,00:03:37
1,BASELINE,6,1,0,L,663.6098348886976,00:11:04
1,BASELINE,6,1,1,R,663.6098348886976,00:11:04
1,BASELINE,6,2,0,LR,490.22492700373016,00:08:10
1,BASELINE,6,2,1,RL,490.22492700373016,00:08:10
1,BASELINE,6,3,0,LLR,490.22492700373016,00:08:10
1,BASELINE,6,3,1,RRL,318.43171677461777,00:05:18
1,BASELINE,6,3,2,LRL,490.22492700373016,00:08:10
1,BASELINE,6,3,3,RLR,318.43171677461777,00:05:18
1,BASELINE,6,4,0,LLRR,318.43171677461777,00:05:18
1,BASELINE,6,4,1,RRLL,318.43171677461777,00:05:18
1,BASELINE,6,4,2,LRLR,318.43171677461777,00:05:18
1,BASELINE,6,4,3,RLRL,318.43171677461777,00:05:18
1,BASELINE,6,5,0,LLLRR,318.43171677461777,00:05:18
1,BASELINE,6,5,1,RRRLL,306.4264595482829,00:05:06
1,BASELINE,6,5,2,LRLRL,318.43171677461777,00:05:18
1,BASELINE,6,5,3,RLRLR,306.4264595482829,00:05:06
1,BASELINE,6,6,0,LLLRRR,306.4264595482829,00:05:06
1,BASELINE,6,6,1,RRRLLL,306.4264595482829,00:05:06
1,BASELINE,6,6,2,LRLRLR,306.4264595482829,00:05:06
1,BASELINE,6,6,3,RLRLRL,306.4264595482829,00:05:06
1,BASELINE,6,7,0,LLLLRRR,306.4264595482829,00:05:06
1,BASELINE,6,7,1,RRRRLLL,225.43171677461777,00:03:45
1,BASELINE,6,7,2,LRLRLRL,306.4264595482829,00:05:06
1,BASELINE,6,7,3,RLRLRLR,225.43171677461777,00:03:45
1,BASELINE,6,8,0,LLLLRRRR,225.43171677461777,00:03:45
1,BASELINE,6,8,1,RRRRLLLL,225.43171677461777,00:03:45
1,BASELINE,6,8,2,LRLRLRLR,225.43171677461777,00:03:45
1,BASELINE,6,8,3,RLRLRLRL,225.43171677461777,00:03:45
1,BASELINE,6,9,0,LLLLLRRRR,225.43171677461777,00:03:45
1,BASELINE,6,9,1,RRRRRLLLL,225.43171677461777,00:03:45
1,BASELINE,6,9,2,LRLRLRLRL,225.43171677461777,00:03:45
1,BASELINE,6,9,3,RLRLRLRLR,225.43171677461777,00:03:45
1,BASELINE,6,10,0,LLLLLRRRRR,225.43171677461777,00:03:45
1,BASELINE,6,10,1,RRRRRLLLLL,225.43171677461777,00:03:45
1,BASELINE,6,10,2,LRLRLRLRLR,225.43171677461777,00:03:45
1,BASELINE,6,10,3,RLRLRLRLRL,225.43171677461777,00:03:45
1,BASELINE,7,1,0,L,711.6098348886976,00:11:52
1,BASELINE,7,1,1,R,711.6098348886976,00:11:52
1,BASELINE,7,2,0,LR,522.2249270037302,00:08:42
1,BASELINE,7,2,1,RL,522.2249270037302,00:08:42
1,BASELINE,7,3,0,LLR,522.2249270037302,00:08:42
1,BASELINE,7,3,1,RRL,334.4317167746178,00:05:34
1,BASELINE,7,3,2,LRL,522.2249270037302,00:08:42
1,BASELINE,7,3,3,RLR,334.4317167746178,00:05:34
1,BASELINE,7,4,0,LLRR,334.4317167746178,00:05:34
1,BASELINE,7,4,1,RRLL,334.4317167746178,00:05:34
1,BASELINE,7,4,2,LRLR,334.4317167746178,00:05:34
1,BASELINE,7,4,3,RLRL,334.4317167746178,00:05:34
1,BASELINE,7,5,0,LLLRR,334.4317167746178,00:05:34
1,BASELINE,7,5,1,RRRLL,322.4264595482829,00:05:22
1,BASELINE,7,5,2,LRLRL,334.4317167746178,00:05:34
1,BASELINE,7,5,3,RLRLR,322.4264595482829,00:05:22
1,BASELINE,7,6,0,LLLRRR,322.4264595482829,00:05:22
1,BASELINE,7,6,1,RRRLLL,322.4264595482829,00:05:22
1,BASELINE,7,6,2,LRLRLR,322.4264595482829,00:05:22
1,BASELINE,7,6,3,RLRLRL,322.4264595482829,00:05:22
1,BASELINE,7,7,0,LLLLRRR,322.4264595482829,00:05:22
1,BASELINE,7,7,1,RRRRLLL,233.43171677461777,00:03:53
1,BASELINE,7,7,2,LRLRLRL,322.4264595482829,00:05:22
1,BASELINE,7,7,3,RLRLRLR,233.43171677461777,00:03:53
1,BASELINE,7,8,0,LLLLRRRR,233.43171677461777,00:03:53
1,BASELINE,7,8,1,RRRRLLLL,233.43171677461777,00:03:53
1,BASELINE,7,8,2,LRLRLRLR,233.43171677461777,00:03:53
1,BASELINE,7,8,3,RLRLRLRL,233.43171677461777,00:03:53
1,BASELINE,7,9,0,LLLLLRRRR,233.43171677461777,00:03:53
1,BASELINE,7,9,1,RRRRRLLLL,233.43171677461777,00:03:53
1,BASELINE,7,9,2,LRLRLRLRL,233.43171677461777,00:03:53
